IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2004,8.64
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2010,10.03
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2016,10.49
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2009,9.71
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2021,10.79
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2015,10.44
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2020,10.67
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2008,9.57
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2014,10.63
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2007,8.87
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2013,10.45
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2019,10.63
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2006,8.93
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2012,10.13
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2018,10.19
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2005,8.72
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2011,10.11
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2017,10.46
45CA7C8,Density of pharmacists,COUNTRY,300,Greece,YEAR,2022,10.82
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1992,5.97
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1993,6.02
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2003,4.9
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2010,7.25
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2016,8.49
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1990,5.44
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1991,5.93
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2002,4.49
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2009,7.06
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2015,8.4
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2001,4.3
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2008,6.56
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2014,8.05
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2020,9.46
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2000,4.13
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2019,9.27
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1999,4.03
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2007,5.96
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2013,7.71
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1997,7.25
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1998,7.39
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2006,5.66
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2012,7.37
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2018,9.06
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1995,6.41
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1996,6.74
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2005,5.46
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2011,7.51
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2017,9.04
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,1994,6.32
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2004,5.21
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2021,9.74
45CA7C8,Density of pharmacists,COUNTRY,620,Portugal,YEAR,2022,10.17
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1992,6.25
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1993,6.43
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2003,7.47
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2016,7.73
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1990,5.94
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1991,6.13
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2002,7.42
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2009,7.54
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2015,7.7
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2001,7.39
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2008,7.76
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2014,7.64
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2020,7.7
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2000,7.3
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2007,7.82
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2019,7.97
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1998,6.74
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1999,6.64
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2013,7.6
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1997,6.83
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2006,7.68
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2012,7.71
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2018,7.92
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1995,6.74
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1996,6.83
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2005,7.66
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2011,7.72
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2017,7.72
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,1994,6.59
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2004,7.63
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2010,7.62
45CA7C8,Density of pharmacists,COUNTRY,752,Sweden,YEAR,2021,7.83
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1992,9.82
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1993,9.99
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2003,7.58
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2016,12.02
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1990,9.36
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1991,9.6
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2002,7.77
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2009,9.33
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2015,11.87
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2001,7.77
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2008,9.88
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2014,11.68
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2020,13.07
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2000,7.11
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2007,9.46
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2019,12.26
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1998,5.66
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1999,6.28
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2013,11.12
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1997,6
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2006,9.17
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2012,10.46
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2018,11.81
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1995,10.33
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1996,5.8
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2005,8.52
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2011,9.31
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2017,11.49
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,1994,10.12
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2004,8.03
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2010,9.18
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2021,12.47
45CA7C8,Density of pharmacists,COUNTRY,724,Spain,YEAR,2022,12.29
